Zone	Depth (m)	Degree (°)	F.S.	displacement (mm)
G3	4	50°	Fail	Fail
G3	5	50°	Fail	Fail
G3	6	50°	Fail	Fail
G3	7	50°	Fail	Fail
G3	8	50°	Fail	Fail
G3	9	50°	Fail	Fail
G3	10	50°	Fail	Fail
G3	1	60°	1.981	18.81
G3	2	60°	1.31	34.05
G3	3	60°	Fail	Fail
G3	4	60°	Fail	Fail
G3	5	60°	Fail	Fail
G3	6	60°	Fail	Fail
G3	7	60°	Fail	Fail
G3	8	60°	Fail	Fail
G3	9	60°	Fail	Fail
G3	10	60°	Fail	Fail
G3	1	70°	1.968	24.8
G3	2	70°	1.252	46.03
G3	3	70°	Fail	Fail
G3	4	70°	Fail	Fail
G3	5	70°	Fail	Fail
G3	6	70°	Fail	Fail
G3	7	70°	Fail	Fail
G3	8	70°	Fail	Fail
G3	9	70°	Fail	Fail
G3	10	70°	Fail	Fail
G3	1	80°	1.828	24.79
G3	2	80°	1.166	48.67
G3	3	80°	Fail	Fail
G3	4	80°	Fail	Fail
G3	5	80°	Fail	Fail
G3	6	80°	Fail	Fail
G3	7	80°	Fail	Fail
G3	8	80°	Fail	Fail
G3	9	80°	Fail	Fail
G3	10	80°	Fail	Fail
